天津联通,#genre#
咪咕体育4,http://nas.hssvm.com:8888/udp/225.0.2.211:5000
咪咕体育5,http://nas.hssvm.com:8888/udp/225.0.2.212:5000
咪咕体育6,http://nas.hssvm.com:8888/udp/225.0.2.213:5000
咪咕体育7,http://nas.hssvm.com:8888/udp/225.0.2.214:5000
咪咕体育8,http://nas.hssvm.com:8888/udp/225.0.2.215:5000
咪咕体育9,http://nas.hssvm.com:8888/udp/225.0.2.216:5000
咪咕体育10,http://nas.hssvm.com:8888/udp/225.0.2.217:5000
咪咕体育11,http://nas.hssvm.com:8888/udp/225.0.2.218:5000
咪咕体育12,http://nas.hssvm.com:8888/udp/225.0.2.219:5000
咪咕体育13,http://nas.hssvm.com:8888/udp/225.0.2.220:5000
咪咕体育14,http://nas.hssvm.com:8888/udp/225.0.2.221:5000
咪咕体育15,http://nas.hssvm.com:8888/udp/225.0.2.222:5000
咪咕体育16,http://nas.hssvm.com:8888/udp/225.0.2.223:5000
咪咕体育17,http://nas.hssvm.com:8888/udp/225.0.2.224:5000
咪咕体育18,http://nas.hssvm.com:8888/udp/225.0.2.225:5000
咪咕体育19,http://nas.hssvm.com:8888/udp/225.0.2.226:5000
咪咕体育20,http://nas.hssvm.com:8888/udp/225.0.2.227:5000
咪咕体育21,http://nas.hssvm.com:8888/udp/225.0.2.228:5000
咪咕体育22,http://nas.hssvm.com:8888/udp/225.0.2.229:5000
咪咕体育23,http://nas.hssvm.com:8888/udp/225.0.2.233:5000
天津三佳购物,http://nas.hssvm.com:8888/udp/225.2.1.151:5000
东方购物,http://nas.hssvm.com:8888/udp/225.2.1.181:5000
中视购物 SD,http://nas.hssvm.com:8888/udp/225.0.2.85:5000
央广购物1 SD,http://nas.hssvm.com:8888/udp/225.2.1.65:5000
央广购物2 SD,http://nas.hssvm.com:8888/udp/225.2.1.238:5000
聚鲨环球精选1 SD,http://nas.hssvm.com:8888/udp/225.2.1.102:5000
聚鲨环球精选2 SD,http://nas.hssvm.com:8888/udp/225.2.1.245:5000
好享购物 SD,http://nas.hssvm.com:8888/udp/225.2.1.224:5000
优购物 SD,http://nas.hssvm.com:8888/udp/225.2.1.225:5000
家有购物 SD,http://nas.hssvm.com:8888/udp/225.2.1.226:5000
快乐购 SD,http://nas.hssvm.com:8888/udp/225.0.2.24:5000
风尚购物 SD,http://nas.hssvm.com:8888/udp/225.0.2.204:5000
时尚购物 SD,http://nas.hssvm.com:8888/udp/225.2.1.242:5000
天津文艺广播,http://nas.hssvm.com:8888/udp/225.2.1.171:5000
